연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
26,휴게음식점,커피판다,대구광역시 서구 달서로 178 (비산동),대구광역시 서구 비산동 528-5 ,182.93,,커피숍
27,휴게음식점,마사커피 퀸스로드점,대구광역시 서구 평리로35길 6-13 (중리동),대구광역시 서구 중리동 1136-145 ,24,053 -563 -1189,커피숍
28,휴게음식점,스무디킹(대구롯데시네마광장점),대구광역시 서구 달구벌대로 1691 (내당동),대구광역시 서구 내당동 463-62 ,21.56,,커피숍
29,휴게음식점,베로에스프레소,"대구광역시 서구 달구벌대로 1691, 103호 (내당동)",대구광역시 서구 내당동 463-62 103호,63,,커피숍
30,휴게음식점,코페아커피,"대구광역시 서구 달구벌대로 1691, 4층 409호 (내당동)",대구광역시 서구 내당동 463-62 ,44.8,,커피숍
31,휴게음식점,다빈치 광장롯데시네마점,"대구광역시 서구 달구벌대로 1691, 412호 (내당동)",대구광역시 서구 내당동 463-62 412호,42.8, 053- 521-6662,커피숍
32,휴게음식점,행복나무,"대구광역시 서구 옥산로 54, 1층 (원대동2가)",대구광역시 서구 원대동2가 71-2 외5필지 1층 ,70.94,053 -352 -4114,커피숍
33,휴게음식점,이가커피,"대구광역시 서구 서대구로 285, 3층 (비산동)",대구광역시 서구 비산동 1854-6 ,60.56,,커피숍
34,휴게음식점,바리스타-비,"대구광역시 서구 평리로35길 28-14, 3호 (중리동)",대구광역시 서구 중리동 1136-39 3호,55.42,053 -522 -3634,커피숍
35,휴게음식점,아아우우커피,"대구광역시 서구 달서로9길 2, 1층 (내당동)","대구광역시 서구 내당동 945-6 ,1층 ",91.57,053 -532 -3222,커피숍
36,휴게음식점,브레드앤밀,"대구광역시 서구 국채보상로 316, 202동 104호 (평리동, 평리롯데캐슬)",대구광역시 서구 평리동 1676 평리롯데캐슬 202동 104호,54.6,053 -556 -0209,커피숍
37,휴게음식점,커피 메지스,"대구광역시 서구 달서로4길 5, 1층 (내당동)","대구광역시 서구 내당동 897-18 ,1층 ",42.24,,커피숍
38,휴게음식점,매스커피 두류역점,"대구광역시 서구 달구벌대로 1723, 1층 (내당동)","대구광역시 서구 내당동 465-7 ,1층 ",68.93, 053- 565-7999,커피숍
